SessionID,UserID,Date,Start Time,End Time,Duration,Platform,DeviceType,Channel,Rating,Product Type,Detailed Product Type,Interaction Type
0,395,2023-09-01,2023-09-01 11:52:00,2023-09-01 14:09:00,137.0,Mobile App,Laptop,Paid Advertisement,5,Games,Action,Search
1,20,2023-09-01,2023-09-01 22:16:00,2023-09-02 00:53:00,157.0,Website,Tablet,Organic Search,2,Movies,Action,View
2,455,2023-09-01,2023-09-01 13:30:00,2023-09-01 14:08:00,38.0,Mobile App,Laptop,Social Media,5,Music,Hip Hop,Search
3,144,2023-09-01,2023-09-01 06:38:00,2023-09-01 10:26:00,228.0,Mobile App,Laptop,Paid Advertisement,4,TV Shows,Drama,Scroll
4,146,2023-09-01,2023-09-01 05:43:00,2023-09-01 06:50:00,67.0,Mobile App,Laptop,Paid Advertisement,3,Podcasts,Comedy,View
5,12,2023-09-01,2023-09-01 08:41:00,2023-09-01 10:50:00,129.0,Mobile App,Mobile,Paid Advertisement,5,Games,Action,Scroll
6,273,2023-09-01,2023-09-01 12:09:00,2023-09-01 15:49:00,220.0,Website,Mobile,Social Media,3,Music,Pop,View
7,451,2023-09-01,2023-09-01 04:30:00,2023-09-01 07:14:00,164.0,Smart TV,Tablet,Social Media,5,Music,Hip Hop,View
8,307,2023-09-01,2023-09-01 03:30:00,2023-09-01 05:43:00,133.0,Website,Laptop,Paid Advertisement,2,Games,Action,Share & Save
9,495,2023-09-01,2023-09-01 20:32:00,2023-09-01 22:38:00,126.0,Mobile App,Mobile,Social Media,5,Music,Hip Hop,View
10,343,2023-09-01,2023-09-01 13:22:00,2023-09-01 16:00:00,158.0,Mobile App,Mobile,Social Media,4,Movies,Animation,Scroll
11,490,2023-09-01,2023-09-01 20:02:00,2023-09-01 20:50:00,48.0,Mobile App,Mobile,Social Media,2,TV Shows,Action,Scroll
12,235,2023-09-01,2023-09-01 09:10:00,2023-09-01 12:03:00,173.0,Mobile App,Mobile,Paid Advertisement,1,TV Shows,Action,Scroll
13,208,2023-09-01,2023-09-01 15:00:00,2023-09-01 18:19:00,199.0,Website,Mobile,Organic Search,5,Movies,Animation,Click
14,280,2023-09-01,2023-09-01 05:25:00,2023-09-01 06:26:00,61.0,Website,Laptop,Paid Advertisement,4,Music,Rock,Search
15,452,2023-09-01,2023-09-01 11:40:00,2023-09-01 13:58:00,138.0,Smart TV,Mobile,Social Media,2,Movies,Documentary,Share & Save
16,168,2023-09-01,2023-09-01 23:39:00,2023-09-02 00:55:00,76.0,Website,Laptop,Paid Advertisement,4,Games,Lifestyle,View
17,411,2023-09-01,2023-09-01 20:09:00,2023-09-01 21:07:00,58.0,Website,Mobile,Social Media,3,Music,Hip Hop,View
18,331,2023-09-01,2023-09-01 18:39:00,2023-09-01 22:22:00,223.0,Website,Mobile,Social Media,5,Music,Pop,View
19,498,2023-09-01,2023-09-01 15:23:00,2023-09-01 15:54:00,31.0,Mobile App,Mobile,Organic Search,3,Podcasts,Religious,Share & Save
20,39,2023-09-01,2023-09-01 01:06:00,2023-09-01 01:48:00,42.0,Mobile App,Tablet,Social Media,5,Music,Rock,Search
21,323,2023-09-01,2023-09-01 11:12:00,2023-09-01 12:08:00,56.0,Website,Mobile,Paid Advertisement,3,TV Shows,Action,View
22,178,2023-09-01,2023-09-01 03:41:00,2023-09-01 07:35:00,234.0,Mobile App,Mobile,Organic Search,5,Music,RnB,View
23,232,2023-09-01,2023-09-01 03:45:00,2023-09-01 07:06:00,201.0,Mobile App,Laptop,Paid Advertisement,1,TV Shows,Comedy,Scroll
24,63,2023-09-01,2023-09-01 15:41:00,2023-09-01 17:07:00,86.0,Mobile App,Mobile,Social Media,3,Music,Pop,Scroll
25,222,2023-09-01,2023-09-01 17:00:00,2023-09-01 18:24:00,84.0,Website,Mobile,Social Media,5,Games,Action,Scroll
26,149,2023-09-01,2023-09-01 09:38:00,2023-09-01 10:11:00,33.0,Mobile App,Tablet,Social Media,5,TV Shows,Action,Search
27,170,2023-09-01,2023-09-01 15:43:00,2023-09-01 15:49:00,6.0,Smart TV,Laptop,Paid Advertisement,5,Movies,Drama,Click
28,11,2023-09-01,2023-09-01 03:12:00,2023-09-01 06:15:00,183.0,Website,Laptop,Paid Advertisement,4,Music,RnB,View
29,265,2023-09-01,2023-09-01 04:00:00,2023-09-01 05:05:00,65.0,Website,Mobile,Organic Search,5,Games,Action,Scroll
30,436,2023-09-01,2023-09-01 07:53:00,2023-09-01 09:51:00,118.0,Mobile App,Mobile,Organic Search,4,Music,RnB,Search
31,290,2023-09-01,2023-09-01 05:00:00,2023-09-01 07:43:00,163.0,Website,Mobile,Paid Advertisement,4,TV Shows,Action,Search
